epoch,video,frames,ap50,recall,zero_det_frames
50,data20,400,88.51,89.00,15
50,data21,500,3.01,18.00,201
51,data6,399,91.39,92.23,29
51,data11,745,95.00,95.84,29
51,data12,1500,100.00,100.00,0
51,data15,751,4.96,16.38,431
51,data18,500,95.29,96.80,10
51,data20,400,88.51,89.00,12
51,data21,500,4.68,22.40,201
52,data6,399,89.23,90.48,36
52,data11,745,93.98,94.90,36
52,data12,1500,100.00,100.00,0
52,data15,751,5.79,17.44,426
52,data18,500,95.20,96.80,10
52,data20,400,87.70,88.00,12
52,data21,500,7.72,28.00,188
53,data6,399,86.39,87.47,47
53,data11,745,92.93,93.42,47
53,data12,1500,100.00,100.00,0
53,data15,751,6.51,19.57,404
53,data18,500,94.82,96.00,12
53,data20,400,86.89,87.75,14
53,data21,500,8.25,28.60,180
54,data6,399,84.50,85.96,51
54,data11,745,91.93,92.62,51
54,data12,1500,100.00,100.00,0
54,data15,751,5.23,17.98,410
54,data18,500,93.81,95.40,13
54,data20,400,86.92,87.75,21
54,data21,500,6.74,24.60,206
55,data6,399,82.21,83.71,60
55,data11,745,90.84,91.41,60
55,data12,1500,100.00,100.00,0
55,data15,751,4.05,15.98,415
55,data18,500,92.76,94.40,16
55,data20,400,87.79,88.25,23
55,data21,500,5.42,21.40,227
56,data6,399,80.18,81.45,61
56,data11,745,89.85,90.20,61
56,data12,1500,100.00,100.00,0
56,data15,751,3.88,15.45,419
56,data18,500,92.80,94.40,17
56,data20,400,86.95,87.75,27
56,data21,500,5.82,22.20,226
57,data6,399,80.11,81.20,62
57,data11,745,89.80,90.07,62
57,data12,1500,100.00,100.00,0
57,data15,751,4.37,16.91,417
57,data18,500,92.73,94.20,17
57,data20,400,87.83,88.25,26
57,data21,500,6.30,23.60,225
58,data6,399,80.25,81.70,58
58,data11,745,89.83,90.34,58
58,data12,1500,100.00,100.00,0
58,data15,751,4.76,17.18,417
58,data18,500,92.79,95.00,14
58,data20,400,87.85,88.25,27
58,data21,500,6.36,25.60,207
59,data6,399,81.47,82.71,55
59,data11,745,89.95,90.87,55
59,data12,1500,100.00,100.00,0
59,data15,751,5.72,19.97,399
59,data18,500,93.18,95.00,14
59,data20,400,87.81,88.25,27
59,data21,500,6.72,27.80,184
60,data6,399,82.45,83.21,58
60,data11,745,90.82,91.14,57
60,data12,1500,100.00,100.00,0
60,data15,751,5.60,19.04,399
60,data18,500,93.34,95.00,13
60,data20,400,87.71,88.00,27
60,data21,500,5.40,24.40,186
61,data6,399,81.82,82.71,60
61,data11,745,90.03,90.87,59
61,data12,1500,100.00,100.00,0
61,data15,751,5.84,19.44,398
61,data18,500,93.22,94.60,16
61,data20,400,86.79,87.25,27
61,data21,500,6.11,26.40,172
62,data6,399,81.91,82.46,60
62,data11,745,90.06,90.74,59
62,data12,1500,100.00,100.00,0
62,data15,751,6.83,21.04,379
62,data18,500,93.29,94.60,16
62,data20,400,86.57,87.00,26
62,data21,500,8.48,31.40,152
63,data6,399,80.98,81.95,63
63,data11,745,90.01,90.47,62
63,data12,1500,100.00,100.00,0
63,data15,751,6.77,21.97,365
63,data18,500,93.22,94.40,17
63,data20,400,85.74,86.50,26
63,data21,500,10.62,35.20,157
64,data6,399,80.90,81.70,66
64,data11,745,89.95,90.34,65
64,data12,1500,100.00,100.00,0
64,data15,751,6.22,20.24,379
64,data18,500,93.03,94.80,16
64,data20,400,85.82,86.75,28
64,data21,500,10.86,34.60,169
65,data6,399,80.88,81.45,66
65,data11,745,89.95,90.20,65
65,data12,1500,100.00,100.00,0
65,data15,751,5.68,19.57,380
65,data18,500,92.98,94.60,16
65,data20,400,86.74,87.25,26
65,data21,500,12.40,36.20,162
66,data6,399,79.82,80.70,65
66,data11,745,89.02,89.80,64
66,data12,1500,100.00,100.00,0
66,data15,751,6.55,21.17,380
66,data18,500,93.03,94.40,16
66,data20,400,86.71,87.25,25
66,data21,500,11.53,35.40,145
67,data6,399,77.85,78.95,71
67,data11,745,88.07,88.86,70
67,data12,1500,100.00,100.00,0
67,data15,751,5.91,19.97,395
67,data18,500,92.21,93.60,17
67,data20,400,86.71,87.00,29
67,data21,500,12.70,36.20,140
68,data6,399,76.63,77.19,75
68,data11,745,87.94,88.05,74
68,data12,1500,100.00,100.00,0
68,data15,751,6.88,21.97,395
68,data18,500,92.26,93.40,18
68,data20,400,86.01,86.75,29
68,data21,500,13.04,36.80,130
69,data6,399,74.60,75.44,80
69,data11,745,86.95,87.11,79
69,data12,1500,100.00,100.00,0
69,data15,751,7.70,23.70,384
69,data18,500,92.33,93.40,20
69,data20,400,86.84,87.25,26
69,data21,500,12.06,35.80,128
70,data6,399,74.53,75.19,82
70,data11,745,86.08,86.98,81
70,data12,1500,100.00,100.00,0
70,data15,751,7.42,23.17,383
70,data18,500,92.35,93.60,19
70,data20,400,86.86,87.00,29
70,data21,500,10.42,33.80,135
71,data6,399,73.54,74.94,83
71,data11,745,86.04,86.71,82
71,data12,1500,100.00,100.00,0
71,data15,751,7.55,23.70,380
71,data18,500,92.34,93.60,19
71,data20,400,86.90,87.25,31
71,data21,500,9.95,33.40,132
72,data6,399,73.45,74.94,82
72,data11,745,85.99,86.71,81
72,data12,1500,100.00,100.00,0
72,data15,751,8.54,25.43,362
72,data18,500,92.30,93.20,22
72,data20,400,86.94,87.50,31
72,data21,500,10.60,35.20,118
73,data6,399,73.35,74.19,81
73,data11,745,85.95,86.44,81
73,data12,1500,100.00,100.00,0
73,data15,751,8.56,25.43,358
73,data18,500,91.40,92.80,24
73,data20,400,86.97,87.75,31
73,data21,500,11.47,37.00,119
74,data6,399,72.55,73.93,82
74,data11,745,85.97,86.31,82
74,data12,1500,100.00,100.00,0
74,data15,751,8.52,25.30,364
74,data18,500,91.28,92.20,28
74,data20,400,86.99,87.50,34
74,data21,500,11.43,37.20,119
75,data6,399,72.55,73.93,83
75,data11,745,85.94,86.17,84
75,data12,1500,100.00,100.00,0
75,data15,751,8.08,24.90,371
75,data18,500,91.17,92.00,29
75,data20,400,86.99,87.50,37
75,data21,500,10.54,36.00,121
76,data6,399,73.39,74.94,85
76,data11,745,86.03,86.58,85
76,data12,1500,100.00,100.00,0
76,data15,751,7.46,23.17,385
76,data18,500,90.38,91.80,31
76,data20,400,86.97,87.50,36
76,data21,500,10.07,35.20,117
77,data6,399,74.18,75.69,83
77,data11,745,86.03,86.85,83
77,data12,1500,100.00,100.00,0
77,data15,751,6.97,22.77,390
77,data18,500,90.38,91.80,31
77,data20,400,86.96,87.25,36
77,data21,500,9.91,34.40,116
78,data6,399,75.15,76.94,79
78,data11,745,86.97,87.52,80
78,data12,1500,100.00,100.00,0
78,data15,751,6.90,22.37,395
78,data18,500,91.06,92.00,33
78,data20,400,86.95,87.00,36
78,data21,500,10.11,34.60,116
79,data6,399,75.98,77.44,80
79,data11,745,87.06,87.79,81
79,data12,1500,100.00,100.00,0
79,data15,751,6.43,21.70,402
79,data18,500,90.26,91.80,36
79,data20,400,86.93,87.00,40
79,data21,500,10.03,33.80,121
80,data6,399,75.83,77.44,79
80,data11,745,87.02,87.65,80
80,data12,1500,100.00,100.00,0
80,data15,751,5.95,20.37,421
80,data18,500,90.15,91.40,38
80,data20,400,86.03,86.75,41
80,data21,500,10.32,33.80,129
81,data6,399,75.81,77.44,80
81,data11,745,87.03,87.65,81
81,data12,1500,100.00,100.00,0
81,data15,751,5.67,19.44,425
81,data18,500,90.09,91.00,38
81,data20,400,86.03,86.75,41
81,data21,500,10.72,34.00,133
82,data6,399,75.83,77.69,79
82,data11,745,87.04,87.65,80
82,data12,1500,100.00,100.00,0
82,data15,751,5.77,19.71,424
82,data18,500,89.22,90.40,41
82,data20,400,86.89,87.00,41
82,data21,500,10.85,34.00,136
83,data6,399,75.81,77.44,77
