epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,47869.4,0.16437,0.6769,1.12091,0.99432,0.95674,0.98458,0.75845,0.13395,0.56758,0.99982,2.3275e-05,2.3275e-05,2.3275e-05
157,48122.1,0.15429,0.67854,1.08797,0.99444,0.95674,0.99015,0.76286,0.13262,0.55811,0.99479,2.278e-05,2.278e-05,2.278e-05
158,48354.1,0.15322,0.6435,1.09093,0.99568,0.9542,0.98803,0.76193,0.13323,0.55245,0.99667,2.2285e-05,2.2285e-05,2.2285e-05
159,48606.5,0.153,0.65987,1.0865,0.99207,0.95492,0.98413,0.7582,0.13105,0.56195,0.99226,2.179e-05,2.179e-05,2.179e-05
160,48840.2,0.15042,0.65799,1.07125,0.99438,0.95674,0.98691,0.74924,0.13435,0.56939,1.00125,2.1295e-05,2.1295e-05,2.1295e-05
161,49091.8,0.15625,0.66889,1.08575,0.99205,0.95266,0.98636,0.7562,0.13269,0.56576,0.99441,2.08e-05,2.08e-05,2.08e-05
162,49327.5,0.15278,0.65778,1.08899,0.99355,0.9542,0.9862,0.76223,0.13328,0.55588,0.99509,2.0305e-05,2.0305e-05,2.0305e-05
163,49576.4,0.15161,0.65178,1.07055,0.9947,0.95553,0.98638,0.75569,0.13525,0.55995,1.00384,1.981e-05,1.981e-05,1.981e-05
164,49812.5,0.15426,0.66077,1.08327,0.9933,0.95165,0.98204,0.75401,0.13597,0.5683,1.0021,1.9315e-05,1.9315e-05,1.9315e-05
165,50058.1,0.15711,0.66971,1.0933,0.98651,0.9542,0.98697,0.7578,0.13381,0.56385,0.99718,1.882e-05,1.882e-05,1.882e-05
166,50296.6,0.1549,0.6644,1.08646,0.98944,0.9535,0.98044,0.75207,0.13642,0.58261,1.00351,1.8325e-05,1.8325e-05,1.8325e-05
167,50539.8,0.15932,0.67102,1.09497,0.99111,0.9542,0.98738,0.7575,0.13169,0.56731,0.99432,1.783e-05,1.783e-05,1.783e-05
168,50780.1,0.14869,0.64961,1.06135,0.99471,0.95627,0.98708,0.75421,0.13434,0.55974,1.0003,1.7335e-05,1.7335e-05,1.7335e-05
169,51021,0.14571,0.6252,1.05857,0.99206,0.95406,0.98601,0.75834,0.1319,0.5522,0.99426,1.684e-05,1.684e-05,1.684e-05
170,51264.2,0.15346,0.64059,1.08152,0.99371,0.95674,0.98213,0.75803,0.13267,0.55781,0.99581,1.6345e-05,1.6345e-05,1.6345e-05
